feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0513	Mean_Temperature	Mean_Temperature	-0.0375482084896083	0.00362727908418949	139	139	1.31959490577885e-16	4.30610209653753e-12
COG1833	Mean_Oxygen	Mean_Oxygen	-0.0266715376440445	0.00279114950659148	139	135	5.05332052619436e-15	8.24499777053872e-11
COG2181	Mean_Temperature	Mean_Temperature	-0.16433150218554	0.0183089037604743	139	139	7.31050236213902e-14	7.95187710271068e-10
COG3261	Mean_Oxygen	Mean_Oxygen	-0.0448860797741627	0.00519647901447383	139	72	3.46600421165318e-13	2.82756623586667e-09
COG3164	Mean_Temperature	Mean_Temperature	-0.0626832716575169	0.00765824101965249	139	139	2.78285813581079e-12	1.81620453375555e-08
COG5488	Mean_Temperature	Mean_Temperature	0.0961455984893615	0.0119884587170911	139	139	5.94047289797394e-12	3.23082519344476e-08
COG5482	Mean_Temperature	Mean_Temperature	-0.183721466802253	0.0230994158367062	139	138	8.05117682012495e-12	3.75322859991882e-08
COG2878	Mean_Temperature	Mean_Temperature	-0.0945794689811685	0.0119369663979516	139	139	9.24852093274428e-12	3.77247168846639e-08
COG1148	Mean_Oxygen	Mean_Oxygen	-0.0288454792944622	0.00365497179769022	139	128	1.06647731852881e-11	3.86680976202579e-08
COG0672	Mean_Temperature	Mean_Temperature	-0.101823518094512	0.0129610210196858	139	139	1.25739607984745e-11	4.10313488775819e-08
COG1534	Mean_Temperature	Mean_Temperature	-0.0856874918630414	0.011018662976002	139	139	1.80901920237328e-11	4.91932621765374e-08
COG5013	Mean_Oxygen	Mean_Oxygen	-0.0342582808849708	0.00440050905319031	139	139	1.74014707853351e-11	4.91932621765374e-08
COG0581	log_PO4	log_PO4	-0.662021903331322	0.0854788882288096	139	139	2.09108053069602e-11	5.24893383674403e-08
COG4085	Mean_Oxygen	Mean_Oxygen	-0.0245116245359957	0.00318289186385289	139	134	2.5539767784261e-11	5.95295501668575e-08
COG1407	Mean_Temperature	Mean_Temperature	0.08687276661633	0.0113943568904077	139	139	3.62611756252064e-11	7.88849788667823e-08
COG1117	log_PO4	log_PO4	-0.599964275762336	0.0792467323087153	139	139	4.62355857383522e-11	9.42974771133692e-08
COG2006	Mean_Oxygen	Mean_Oxygen	-0.0224516441446955	0.00298581043904716	139	136	5.84151935790951e-11	1.12129682169002e-07
COG0226	log_PO4	log_PO4	-0.682991503887326	0.0911553084266908	139	139	6.5994137545984e-11	1.19640038688919e-07
COG5563	Mean_Temperature	Mean_Temperature	-0.128434632055936	0.017411298735289	139	139	1.11782652463208e-10	1.91983763956811e-07
COG1274	Mean_Oxygen	Mean_Oxygen	-0.0155859087377525	0.0021228215693368	139	139	1.30660351081888e-10	1.93804935295644e-07
COG2181	Mean_Oxygen	Mean_Oxygen	-0.0183080436228291	0.00249129955676983	139	139	1.2674280794658e-10	1.93804935295644e-07
COG4137	Mean_Temperature	Mean_Temperature	-0.0688776682226085	0.00936591247244289	139	139	1.23743047768371e-10	1.93804935295644e-07
COG3956	Mean_Temperature	Mean_Temperature	0.113819840949937	0.0155282334647627	139	135	1.38087120055656e-10	1.95915604419833e-07
COG0573	log_PO4	log_PO4	-0.664263789016902	0.0911408905038333	139	139	1.66650983232156e-10	2.21123304183378e-07
COG1775	Mean_Oxygen	Mean_Oxygen	-0.0474001388912425	0.0065068146651657	139	100	1.6940679714956e-10	2.21123304183378e-07
COG0704	log_PO4	log_PO4	-0.805414577461241	0.110822936421677	139	139	1.8303481587824e-10	2.29722773528413e-07
COG2226	log_depth	log_depth	-0.118788609292674	0.0163733142069167	139	139	1.93732694956907e-10	2.31493841202729e-07
COG4766	Mean_Temperature	Mean_Temperature	-0.138266290955633	0.0190725696577209	139	137	1.98634087817983e-10	2.31493841202729e-07
COG3684	Mean_Temperature	Mean_Temperature	-0.0821647881900848	0.0113804930039942	139	139	2.27142997611812e-10	2.47071009935622e-07
COG3857	Mean_Oxygen	Mean_Oxygen	-0.0209423828281148	0.0028978161246964	139	139	2.19914751604142e-10	2.47071009935622e-07
COG5566	log_depth	log_depth	3.0398066271291	0.421662008839946	139	62	2.38367418213445e-10	2.5091630939165e-07
COG1150	Mean_Oxygen	Mean_Oxygen	-0.0256265337614602	0.00356462078323593	139	126	2.60850035609486e-10	2.66001823812774e-07
COG2403	Mean_Oxygen	Mean_Oxygen	-0.0392798857105688	0.00549278400728395	139	60	3.09535738917298e-10	3.06083946434826e-07
COG1913	Mean_Oxygen	Mean_Oxygen	-0.025349861984379	0.00356991721283554	139	114	3.8807422245579e-10	3.72459941975804e-07
COG1014	Mean_Oxygen	Mean_Oxygen	-0.00942441013571215	0.00133371283418754	139	139	4.53561158913362e-10	4.1737395190594e-07
COG2391	sqrt_iron	sqrt_iron	1.21265362838253	0.171692422729461	139	139	4.60451773370122e-10	4.1737395190594e-07
COG1379	Mean_Oxygen	Mean_Oxygen	-0.0382177833044814	0.00543195477742298	139	96	5.20327611160591e-10	4.46824489668221e-07
COG3360	Mean_Oxygen	Mean_Oxygen	-0.0237316205596819	0.00337058623614104	139	137	5.0862150547551e-10	4.46824489668221e-07
COG4529	Mean_Temperature	Mean_Temperature	0.0863768845707096	0.0123518146210529	139	139	6.30186962205809e-10	5.2728874232564e-07
COG0394	log_PO4	log_PO4	-0.201826084308216	0.0289286023031662	139	139	6.78140367265272e-10	5.41142017071328e-07
COG4647	Mean_Oxygen	Mean_Oxygen	-0.020766523751565	0.0029768033847041	139	133	6.79909987126884e-10	5.41142017071328e-07
COG2044	Mean_Oxygen	Mean_Oxygen	-0.0234491618555665	0.00338228062408291	139	124	8.24972840550894e-10	6.40964612687066e-07
COG3363	log_depth	log_depth	3.26917350714115	0.472268686509883	139	55	8.65322729405373e-10	6.56679332696654e-07
COG0561	log_depth	log_depth	0.659762677327587	0.095507727406389	139	139	9.2258889186742e-10	6.84225470895856e-07
COG2221	Mean_Oxygen	Mean_Oxygen	-0.0111461636198926	0.00162769933041455	139	139	1.20704648887448e-09	8.75296467221156e-07
COG1856	Mean_Oxygen	Mean_Oxygen	-0.0234357499987723	0.00343457809292368	139	122	1.34544498634074e-09	9.54446973788499e-07
COG1118	log_depth	log_depth	0.614706303115299	0.0904582200805659	139	139	1.52429900489017e-09	1.03626927349116e-06
COG1202	log_depth	log_depth	2.8147739286771	0.414081768929748	139	80	1.50972569481776e-09	1.03626927349116e-06
COG1107	log_depth	log_depth	2.58895182480052	0.382137382489237	139	88	1.67036678676932e-09	1.10187789226566e-06
COG5015	log_depth	log_depth	1.73840530666615	0.256685144709446	139	94	1.68833950151027e-09	1.10187789226566e-06
COG2180	Mean_Oxygen	Mean_Oxygen	-0.0317996892739566	0.00472090324735488	139	133	1.98674443583006e-09	1.27120479274523e-06
COG2861	log_depth	log_depth	0.588398111575548	0.0874686626100847	139	139	2.06759053541937e-09	1.29749258368855e-06
COG3640	Mean_Oxygen	Mean_Oxygen	-0.0255131313774551	0.0038158679115361	139	137	2.47930591597799e-09	1.52650397453196e-06
COG1307	log_depth	log_depth	1.02983135097299	0.154136396338457	139	139	2.53225853455192e-09	1.53023445369441e-06
COG5427	log_depth	log_depth	1.22939302622453	0.184154492053281	139	131	2.59387839985775e-09	1.53897163534833e-06
COG4889	sqrt_iron	sqrt_iron	-0.608028763263077	0.091424758477906	139	139	2.90155397650198e-09	1.69077695287879e-06
COG2863	Mean_Temperature	Mean_Temperature	-0.047282942724444	0.00713104829347633	139	139	3.1705465172252e-09	1.81511006929987e-06
COG4945	Mean_Temperature	Mean_Temperature	0.148862113084209	0.0224678668095207	139	135	3.24175819629295e-09	1.82388023209365e-06
COG0266	Mean_Temperature	Mean_Temperature	0.0184807551595127	0.00279389684686607	139	139	3.40148170897061e-09	1.88130764622253e-06
COG3315	Mean_Temperature	Mean_Temperature	-0.0646517980151539	0.00978142360294985	139	139	3.47811954949902e-09	1.8916332856542e-06
COG0674	Mean_Oxygen	Mean_Oxygen	-0.011653731141687	0.0017693625298204	139	139	3.85467345157242e-09	2.06183685973262e-06
COG1236	Mean_Temperature	Mean_Temperature	0.0597259162116172	0.00907310092870085	139	139	3.9174394858857e-09	2.06183685973262e-06
COG1546	Mean_Temperature	Mean_Temperature	0.0121148258593869	0.00184359298208487	139	139	4.12036884976426e-09	2.10903501987344e-06
COG1648	Mean_Temperature	Mean_Temperature	-0.109565361528747	0.0166755119980635	139	139	4.13637660186014e-09	2.10903501987344e-06
COG1013	Mean_Oxygen	Mean_Oxygen	-0.0113362638564545	0.0017268867138207	139	139	4.24494437982902e-09	2.13109269234739e-06
COG4242	size_fraction	0.22-3	1.72311874894356	0.263366421044088	139	139	4.67568785702856e-09	2.27015871415321e-06
COG4347	log_depth	log_depth	3.7466045040193	0.572873816345009	139	53	4.73065679585738e-09	2.27015871415321e-06
COG4912	Mean_Oxygen	Mean_Oxygen	-0.0201924279903317	0.00308724586826924	139	138	4.71859156820823e-09	2.27015871415321e-06
COG1030	Mean_Oxygen	Mean_Oxygen	-0.00980820551746414	0.00150556891128098	139	139	5.29111140918219e-09	2.50231228267295e-06
COG3883	Mean_Oxygen	Mean_Oxygen	-0.0243157952967903	0.00373805796287941	139	129	5.5218414614771e-09	2.57412472244173e-06
COG2920	Mean_Temperature	Mean_Temperature	-0.0643838724091733	0.00995183960230619	139	139	6.45212900430132e-09	2.9242482453939e-06
COG3577	log_depth	log_depth	0.520819659249499	0.0804859581586124	139	139	6.41271916143621e-09	2.9242482453939e-06
COG4642	Mean_Temperature	Mean_Temperature	-0.088185490752905	0.0136785840981818	139	139	7.12492859891605e-09	3.1849406854771e-06
COG4745	log_depth	log_depth	1.13593306613941	0.176303696418536	139	130	7.248908931126e-09	3.19657292216897e-06
COG4856	log_depth	log_depth	2.06268058754837	0.32040781609716	139	93	7.42203592981311e-09	3.22927835282215e-06
COG1745	log_depth	log_depth	3.72829973335603	0.58059074428969	139	49	7.96583993647441e-09	3.42028011588201e-06
COG3079	Mean_Temperature	Mean_Temperature	-0.0927040136067363	0.0144665402484229	139	139	8.44787421239782e-09	3.53424399101238e-06
COG4359	log_depth	log_depth	1.54585349952133	0.241217831212783	139	115	8.43418359859086e-09	3.53424399101238e-06
COG3044	Mean_Oxygen	Mean_Oxygen	-0.0237082969461831	0.00372258457464145	139	136	1.00391657270004e-08	4.14681083548704e-06
COG1592	sqrt_iron	sqrt_iron	0.924573442025949	0.145360320776792	139	139	1.04064151049184e-08	4.19237207041602e-06
COG2235	log_depth	log_depth	0.932356639965557	0.14653068244344	139	139	1.03015970983873e-08	4.19237207041602e-06
COG2976	Mean_Temperature	Mean_Temperature	-0.0633017352024073	0.00996409855243137	139	139	1.07572985712176e-08	4.23550403125786e-06
COG5530	log_depth	log_depth	1.11451424814629	0.175440931838138	139	132	1.07730704398873e-08	4.23550403125786e-06
COG1966	log_depth	log_depth	0.685834113481619	0.108010304030826	139	139	1.09123117527463e-08	4.23917329899543e-06
COG1217	Mean_Temperature	Mean_Temperature	-0.031616759098178	0.0049862408035161	139	139	1.13457420221441e-08	4.35569710196008e-06
COG4993	log_depth	log_depth	0.446225410009773	0.0708490250799991	139	139	1.3661833579464e-08	5.18387155075663e-06
COG2768	log_depth	log_depth	1.45813573239096	0.231711767402591	139	122	1.3985677037755e-08	5.24575417351749e-06
COG5423	Mean_Oxygen	Mean_Oxygen	-0.0322424862817419	0.00513403418372648	139	78	1.47843791670883e-08	5.4823166020503e-06
COG0478	log_depth	log_depth	2.78176940597477	0.443932456348531	139	61	1.57105254303393e-08	5.69628739825369e-06
COG2250	log_depth	log_depth	1.06578092553906	0.170032293418306	139	129	1.55804329502462e-08	5.69628739825369e-06
COG2168	Mean_Oxygen	Mean_Oxygen	-0.00913098477413329	0.00146228364113698	139	139	1.72793560894542e-08	6.19626316385791e-06
COG2247	log_depth	log_depth	1.55042336053559	0.24849848340566	139	116	1.76720171953304e-08	6.26818766432633e-06
COG0247	sqrt_iron	sqrt_iron	0.588030924840491	0.094448530888923	139	139	1.87179696979938e-08	6.56779341059068e-06
COG3627	log_PO4	log_PO4	-1.32266232612827	0.212887153847436	139	139	1.98027392864865e-08	6.87449987655987e-06
COG1921	log_depth	log_depth	0.386387209798309	0.0622650266024269	139	139	2.04537174049482e-08	6.96778077427402e-06
COG3624	log_PO4	log_PO4	-1.29675982616623	0.208985539958904	139	138	2.04984970069351e-08	6.96778077427402e-06
COG3738	size_fraction	0.22-3	1.28213181652695	0.206772138105766	139	139	2.08867777804258e-08	7.02657043846243e-06
COG2088	Mean_Oxygen	Mean_Oxygen	-0.0170559470945335	0.00275677592862782	139	130	2.21738080860151e-08	7.38342556594739e-06
COG0591	log_depth	log_depth	0.320414002434605	0.0519337950126446	139	139	2.3896262876874e-08	7.87659444644599e-06
COG1681	log_depth	log_depth	2.52537167382175	0.410169938755843	139	65	2.52556357409144e-08	8.24141905497517e-06
COG3046	Mean_Oxygen	Mean_Oxygen	0.00536715815019866	0.000873764229460677	139	139	2.68708931134496e-08	8.68169291166422e-06
COG1816	log_depth	log_depth	0.34238259786385	0.0557789652400751	139	139	2.73835036105242e-08	8.76057342959437e-06
COG3182	log_depth	log_depth	0.959111930344053	0.156483335413056	139	139	2.84753257288999e-08	9.02142552607243e-06
COG4912	log_depth	log_depth	1.1325260940215	0.18487873398846	139	138	2.88951939898722e-08	9.04125450285006e-06
