feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG1107	log_depth	log_depth	2.37391308522261	0.0310263018001975	139	88	2.23773271798322e-75	7.35408480438006e-71
COG0394	log_depth	log_depth	0.146386516192154	0.00232859323321416	139	139	2.44075589662935e-66	4.01065008934135e-62
COG4261	log_depth	log_depth	1.20092741144154	0.0244445358840288	139	138	1.89287969398543e-61	2.07358660877124e-57
COG0279	log_depth	log_depth	0.122473338829714	0.00264790299663163	139	139	1.91052287351471e-60	1.56968559287969e-56
COG1593	log_depth	log_depth	-0.122816791241893	0.00283463422312151	139	139	1.12103417426552e-58	7.36833342061242e-55
COG1470	log_depth	log_depth	1.28017816474601	0.0295670968754667	139	130	1.71813066056264e-58	9.41077433812176e-55
COG2522	log_depth	log_depth	1.00299627070526	0.0273215699346395	139	136	2.69434491830924e-48	1.2649564485045e-44
COG2188	log_depth	log_depth	-0.254516380593005	0.0077914075272981	139	139	3.17759471449489e-48	1.3053559087145e-44
COG4274	log_depth	log_depth	-0.152886605209698	0.00385672987442961	139	139	1.62693281786696e-42	5.94083556959776e-39
COG1968	log_depth	log_depth	-0.044783741523687	0.00158991420197052	139	139	6.92633264414919e-41	2.27626996017319e-37
COG1575	log_depth	log_depth	0.108974871640311	0.00431019467006407	139	139	9.68982070658584e-41	2.89496607001125e-37
COG0697	log_depth	log_depth	-0.057897388034964	0.001716477364245	139	139	1.41946587531107e-40	3.88744387718526e-37
COG0513	log_depth	log_depth	-0.0539722584686315	0.002066387211906	139	139	2.40077507204437e-40	6.06915938212818e-37
COG3869	log_depth	log_depth	0.478684227309148	0.0190343487945962	139	138	6.06688362283848e-40	1.42415759557831e-36
COG4570	log_depth	log_depth	0.53470258169426	0.0220289275025321	139	138	1.864031900397e-39	4.08396962497647e-36
COG3010	log_depth	log_depth	-0.263712707786305	0.0108512779344053	139	139	2.00595353789652e-39	4.12022856683945e-36
COG3054	log_depth	log_depth	-0.705778713710225	0.0263237555693233	139	117	1.10848820126608e-38	2.14290330861226e-35
COG4564	log_depth	log_depth	0.465379381651074	0.0158167253374323	139	139	9.83543591851262e-38	1.79573203347777e-34
COG1376	log_depth	log_depth	-0.239805251956813	0.0103779527277613	139	139	4.58158824243154e-37	7.92470084206685e-34
COG0056	log_depth	log_depth	-0.0367770938254436	0.00165529814749615	139	139	1.09406260802597e-36	1.79776367750827e-33
COG1877	log_depth	log_depth	-0.271859783333957	0.0119862881168401	139	139	2.40806892293952e-36	3.76851319445164e-33
COG0073	log_depth	log_depth	-0.0276443395210836	0.00125565418945072	139	139	4.07087715137163e-36	6.08115030466715e-33
COG1558	log_depth	log_depth	-0.121022601635552	0.00543911882655609	139	139	7.31908816450755e-36	1.04580223234077e-32
COG3892	log_depth	log_depth	0.186507050371229	0.00852626710401727	139	139	1.01360723776865e-35	1.38796617758454e-32
COG1178	log_depth	log_depth	-0.0433714661214608	0.0020168270803498	139	139	1.1146661431531e-35	1.46529552514334e-32
COG1821	log_depth	log_depth	0.168083254015276	0.00810971572720539	139	139	1.54049434002996e-34	1.94718484579787e-31
COG4764	log_depth	log_depth	-0.0598658766437108	0.00292249660667231	139	139	5.2869611319558e-34	6.43521076446649e-31
COG0730	log_depth	log_depth	-0.0529686647959331	0.00200628587665029	139	139	1.11927817737587e-33	1.31371278647431e-30
COG1177	log_depth	log_depth	-0.0440799273180404	0.00232153511661861	139	139	6.02137809339273e-32	6.82367481590547e-29
COG2770	log_depth	log_depth	-0.289281132979836	0.0146752809395967	139	139	1.53737644404843e-31	1.68414464857358e-28
COG3791	log_depth	log_depth	-0.0406154902677361	0.00217373587862104	139	139	2.29578110588736e-31	2.43382420206072e-28
COG4487	log_depth	log_depth	-0.158893203707663	0.00846352017093838	139	139	5.89255963992282e-31	6.05165875020074e-28
COG1536	log_depth	log_depth	0.0719150675644326	0.0039722838981816	139	139	2.03995063158942e-30	2.03154356231984e-27
COG4774	log_depth	log_depth	0.283376183542234	0.0137601358416049	139	139	6.55425066275835e-30	6.3352615817909e-27
COG2503	log_depth	log_depth	-0.125331432829392	0.00696277414261557	139	139	1.05674584786109e-29	9.92254158403058e-27
COG0197	log_depth	log_depth	0.0396811261419588	0.00226727934460573	139	139	1.37036455594571e-29	1.25099057685e-26
COG2118	log_depth	log_depth	0.525387572667139	0.0297509434327141	139	133	6.4323426940096e-29	5.71331108907923e-26
COG3842	log_depth	log_depth	-0.0805852530052206	0.00156565100565929	139	139	6.88923705544649e-29	5.9581022786893e-26
COG2154	log_depth	log_depth	-0.0258580172469602	0.00145395750195012	139	139	8.87423758374758e-28	7.47802420390463e-25
COG0202	log_depth	log_depth	-0.0217235333824639	0.00130602877554702	139	139	1.01514763374258e-27	8.34045295882902e-25
COG0513	Mean_Temperature	Mean_Temperature	-0.049566049381638	0.00288932985737849	139	139	2.28792876235364e-27	1.83391441087781e-24
COG4327	log_depth	log_depth	-0.0595864271024468	0.00375407885372435	139	139	1.43951590130353e-26	1.12638691858189e-23
COG5323	log_depth	log_depth	-0.224479941004108	0.0141703329504573	139	139	2.0429434903493e-26	1.56137895039161e-23
COG1210	log_depth	log_depth	-0.0422217193099697	0.00265476150181938	139	139	2.33521600989951e-26	1.7441940670304e-23
COG1057	log_depth	log_depth	-0.0242417982339068	0.00157237541691794	139	139	2.05018562115804e-25	1.49727333897196e-22
COG0505	log_depth	log_depth	-0.0176837057347276	0.00122151733672901	139	139	2.22710866881057e-24	1.59112389764762e-21
COG0604	log_depth	log_depth	-0.0282459071419148	0.00210260872102458	139	139	1.62890480175882e-22	1.13898568946812e-19
COG5606	log_depth	log_depth	1.60444723028816	0.0261753528892941	139	132	2.37795968213332e-22	1.62810972903394e-19
COG1132	log_depth	log_depth	-0.022480742009125	0.00170665434699071	139	139	1.63547871840378e-21	1.09690556329841e-18
COG1643	log_depth	log_depth	-0.096859854135358	0.00751486739435238	139	139	1.7007215055406e-21	1.11785023116172e-18
COG2940	log_depth	log_depth	-0.0896040677178829	0.00392121278278081	139	139	2.04468536763441e-21	1.31757921415563e-18
COG0819	log_depth	log_depth	-0.140809717042499	0.0103901910392792	139	139	2.84512230879393e-21	1.79811729915776e-18
COG1387	log_depth	log_depth	0.221268400618623	0.0109454545039566	139	139	5.26453092990681e-21	3.26440649963127e-18
COG0624	log_depth	log_depth	-0.0237749560114108	0.00189050738484823	139	139	6.43831006230637e-21	3.91830781273401e-18
COG2421	log_depth	log_depth	-0.0870042782877189	0.00691724385395709	139	139	6.68783324811413e-21	3.99616276120041e-18
COG1280	log_depth	log_depth	0.0261462575557882	0.00201975809466226	139	139	6.13365230167061e-20	3.59957766503755e-17
COG3178	log_depth	log_depth	-0.0592319713220421	0.00314945069039629	139	139	1.59730587338768e-19	9.20944916193204e-17
COG0275	log_depth	log_depth	-0.0181111064500394	0.00139363552270444	139	139	2.78198624003048e-19	1.57633096193727e-16
COG4774	Mean_Temperature	Mean_Temperature	0.225291364684473	0.0192338859586929	139	139	1.15013822374415e-18	6.40646484493691e-16
COG3511	log_depth	log_depth	0.563268457403256	0.014987156355054	139	139	1.27427256481462e-18	6.9796155950113e-16
COG5255	log_depth	log_depth	-0.184209531255387	0.0155460186739045	139	139	2.73273567210305e-18	1.47227254308188e-15
COG2193	log_depth	log_depth	0.0421779246705691	0.00289386506584514	139	139	3.83312026177838e-18	2.03180103682395e-15
COG2099	log_depth	log_depth	-0.0902457160796743	0.00815125676162532	139	139	5.96316662574186e-18	3.11069060299017e-15
COG0639	log_depth	log_depth	-0.0715093621870624	0.0047128601283015	139	139	9.74860640774838e-18	5.00590939037879e-15
COG2825	log_depth	log_depth	-0.0647641548831722	0.00385678954581088	139	139	1.29519004508626e-17	6.54848086795613e-15
COG0082	log_depth	log_depth	-0.0249774592350853	0.00144402180751958	139	139	1.55281526284348e-16	7.73207890880121e-14
COG0122	log_depth	log_depth	0.0243611209038391	0.00234396704606348	139	139	4.81693610039225e-16	2.36274310452673e-13
COG2188	Mean_Temperature	Mean_Temperature	-0.105672328471977	0.0108908229802916	139	139	2.97818140025197e-15	1.43933755202766e-12
COG1762	log_depth	log_depth	-0.0491089280143398	0.00522095165662412	139	139	1.01359084689762e-14	4.82763037571642e-12
COG1459	log_depth	log_depth	0.0239480790584204	0.00251348718687513	139	139	1.21995625323705e-14	5.72752032948319e-12
COG2309	log_depth	log_depth	0.109896477979362	0.00830242301988037	139	139	1.3025882228247e-14	6.02933230350858e-12
COG3258	log_depth	log_depth	-0.157418862801914	0.013126561966323	139	139	3.51804177591575e-14	1.60579062394021e-11
COG3164	Mean_Temperature	Mean_Temperature	-0.0930865178553368	0.0102509383890648	139	139	4.7497318851246e-14	2.13829025579089e-11
