feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG2253	Mean_Temperature	Mean_Temperature	0.0873400923269657	2.41159855806808e-05	139	94	5.64272374115288e-318	9.27212365146241e-314
COG2253	log_PO4	log_PO4	0.793299680094888	0.00254171601772178	139	94	7.17885455625299e-184	5.89814690341746e-180
COG2253	log_depth	log_depth	0.007877712343014	0.000137521497218068	139	94	4.36154207282372e-92	2.38896197802131e-88
COG0573	log_PO4	log_PO4	-1.30291147596562	0.0878098018844832	139	139	2.00916589084073e-29	8.25365347957372e-26
COG0226	log_PO4	log_PO4	-1.21347542159215	0.0823498904216674	139	139	3.57424318122198e-29	9.78866065897327e-26
COG1117	log_PO4	log_PO4	-1.11173225325593	0.0753623021100101	139	139	3.30203967841367e-29	9.78866065897327e-26
COG1682	log_depth	log_depth	0.765735598725824	0.0524100580947321	139	139	1.12095670808462e-28	2.63136580389236e-25
COG0581	log_PO4	log_PO4	-1.21580275632683	0.0845297886409925	139	139	2.51596138639337e-28	5.16778468765199e-25
COG0825	log_depth	log_depth	-0.348356075133122	0.0256839317587246	139	139	2.15260683880501e-26	3.93018173058267e-23
COG0513	Mean_Temperature	Mean_Temperature	-0.0439268692646579	0.00325263280504296	139	139	3.47480420389398e-26	5.70979826783859e-23
COG4552	log_depth	log_depth	2.14634850344384	0.16224854031338	139	139	1.37997637147975e-25	2.06143379419594e-22
COG1921	log_depth	log_depth	1.10592367218629	0.0862446046861357	139	139	1.32861428301807e-24	1.81931582487941e-21
COG1546	Mean_Temperature	Mean_Temperature	0.0222246553062172	0.00174539260878965	139	139	2.33858840947365e-24	2.74483462460507e-21
COG3346	log_depth	log_depth	-0.930351238979427	0.0729786580071449	139	139	2.21063920199351e-24	2.74483462460507e-21
COG4137	Mean_Temperature	Mean_Temperature	-0.104782863573438	0.00823358138999762	139	139	2.87294766722293e-24	3.14721840452048e-21
COG0854	log_depth	log_depth	-0.385031978827565	0.0303733194612465	139	139	3.34804904395023e-24	3.43844636813689e-21
COG1920	log_depth	log_depth	1.37097171142282	0.108803159648806	139	139	4.62503845274918e-24	4.22214621419858e-21
COG2188	Mean_Temperature	Mean_Temperature	-0.130108918011628	0.0103060782565414	139	139	4.483462529035e-24	4.22214621419858e-21
COG1307	log_depth	log_depth	2.39716626238873	0.190669767372953	139	139	5.41571293290965e-24	4.68373657439849e-21
COG0135	log_depth	log_depth	-0.342712164613751	0.027079726279647	139	139	6.30788155826049e-24	5.18255548826682e-21
COG0220	log_depth	log_depth	-0.378843616803972	0.0303696315253076	139	139	9.38402487582622e-24	7.34277603617031e-21
COG2141	log_depth	log_depth	0.86035754597024	0.0692761257078302	139	139	1.27936618988279e-23	9.55570237825181e-21
COG1995	log_depth	log_depth	-0.321942924432078	0.0259635197101335	139	139	1.42698795287988e-23	1.01948982790096e-20
COG1461	log_depth	log_depth	2.28839903986541	0.186015286687825	139	139	2.47038497316331e-23	1.62381722653625e-20
COG3164	Mean_Temperature	Mean_Temperature	-0.0938635999101116	0.00754675666348831	139	139	2.47051062946728e-23	1.62381722653625e-20
COG2225	log_depth	log_depth	-0.470844832296096	0.0383933110155419	139	139	3.6579684304297e-23	2.31183604803157e-20
COG1137	log_depth	log_depth	-0.307769832754048	0.0251426378004855	139	139	4.39395143258547e-23	2.67412629408313e-20
